"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Antigua and Barbuda","ATG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","4.18412369241072","7.3435710853441","8.59506428983356","4.08371877510336","0.167303078434315","4.67838938623611","9.75361582028522","7.9903116463129","12.7194263697446","8.26317513832319","5.4217995139738","5.77288342482856","2.54510196146892","2.03643609394508","0.848187899110314","5.39010158752733","6.32762207439725","-4.17681867690712","6.7395611559254","4.88584151541205","4.40767395547452","4.12160455415504","5.04176929743556","-3.19424189288978","2.92425143016095","5.91363142470426","5.28642014860594","6.08322843204205","13.3764001850193","9.49894448015539","0.07111102052761","-12.0360150576178","-7.14299133491195","-1.79343560355176","4.01954183888284","-0.0713638506874617","3.22150523703286",
"Australia","AUS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","2.35092661413184","1.27705158758818","6.2124399336051","6.97621507509949","5.97981277129858","2.36539612983032","6.29684145573279","5.09298591983651","7.04960384816769","7.1663916495117","4.0081351375751","3.91226458539784","2.59830662245663","4.09547437529825","1.33744677153038","2.58985155519728","3.60698492840366","0.896775963338285","4.05340029027113","3.05130855449973","3.35825347701257","3.32056862189818","-2.23061371992415","4.62854336859961","5.24963051202671","4.08914458429138","2.58504121983287","5.7966524833034","3.89599391407944","3.52912895654107","-0.425953257234653","0.404054753104461","4.01561129790269","4.04472812292278","3.8811996951182","3.94728562524116","3.94347600631394","4.43086518513307","5.00425623256604","3.87201507119738","1.92866858967555","3.86309558738627","3.07924890056115","4.15658491348331","3.21646733498162","2.9906675777887","3.76014410133084","3.70229295461645","1.73181791536285","1.96236610119051","2.32147890195451","3.72781842816534","2.5119382614117","2.47491031885461",
"Austria","AUT","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.53797931684518","2.64867511295267","4.13826758157032","6.12435373762843","3.48017491799561","5.64286141093264","3.00804779775493","4.47231278246079","6.27586716606929","9.34886466987037","5.11495370885011","6.20789352177522","4.89039550433536","3.94211005869514","-0.363685289908545","4.57845524296675","5.07990965849596","-0.210615685953229","5.35666041247791","1.73148796182694","-0.144277737429832","2.01130088483849","2.97308751854206","0.051248586846782","2.49868129024553","2.30137738264931","1.3571539757246","3.29588828665501","3.887083828919","4.34562551922015","3.44163931976749","2.09351109654664","0.526820378482881","2.40214518323702","2.66796381789145","2.39832722008735","2.20502939096075","3.55993264450503","3.59001870271895","3.36838948724703","1.35051204278666","1.65586707198059","0.75614872150291","2.70572835576948","2.14071809148405","3.3508254439659","3.62147745664035","1.54729405303942","-3.79909968911434","1.88011765941482","3.07142581676759","0.883846197018514","0.228021381373082","0.300727588553997",
"Azerbaijan","AZE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.699999960061689","-22.6000003946572","-23.099999548566","-19.7000000190049","-11.8000008993603","1.30000019976242","5.80000052390139","10.0000002781915","7.40000058167318","11.0999992535406","9.89999999999999","10.5999992015725","11.2000002371477","10.2000003982988","26.4000008082431","34.4999995102935","25.0489995231791","10.7724207826314","9.41065376397619","4.85433932383958","0.0659227678492869","2.20000018843571","5.79667839631928","2",
"Burundi","BDI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-13.7461350547259","9.06315793459677","4.13540741977492","6.27303790305587","3.96722560866228","4.61299289593049","13.8215186020325","-0.297883673243859","-1.45954114320627","21.3256707328197","2.74682871136835","-6.40396492291259","6.88905071788039","-0.726839562116481","0.697920236170546","7.94266097596665","11.4694530442727","-0.940575989168451","1.66495495026507","0.991055725131787","12.1632755702466","-1.05359982020342","3.71532699143134","0.155544004817926","11.7831801831472","3.25018045829924","5.50309611884391","5.03102436828998","1.34950222992009","3.49982214003693","4.99683645144222","1.00999836586124","-6.2399999992023","-3.82999999669255","-7.9200000006572","-8.00000000137253","-1.58999999719994","4.7499999920648","-1.0099999961992","-0.856864059223554","2.05580710931326","4.44651941891463","-1.22372795923962","4.83365776164824","0.90000000286399","5.3846573982125","4.78583195088814","5.0481187832761","3.46842542500001","3.78590254312172","4.19162568095399","4.01936552951108","4.59405421822632","4.66091818447367",
"Belgium","BEL","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.97842306319198","5.21200350925606","4.35158428167068","6.9566847334402","3.56065983986062","3.15589498173409","3.86814694690101","4.19412962494718","6.6297997952943","7.43398994963103","3.98585759558266","5.29562632087975","6.38168310802583","4.56527231039323","-1.96599765374515","5.65278452810483","0.626134547769411","2.84188639848733","2.34108540402353","4.44408883159433","-0.279313503782902","0.594989539233765","0.311860380214227","2.46638293899007","1.65175947954717","1.82280113502948","2.30665644865348","4.72321479212749","3.46914620680316","3.13740779397291","1.8330653541154","1.53064074152682","-0.961852579694551","3.22698765776028","2.38474169299525","1.55116700363081","3.74338256779858","2.00628790114341","3.71603015529072","3.5504263478588","0.924198231325917","1.55954342704592","0.889780594601859","3.434787674815","1.89385355578931","2.63014623172104","3.00034102257294","0.953468801039065","-2.61866478904288","2.5010545665515","1.61831796668446","0.092812880503871","0.291113561282302","1.06654615030375",
"Benin","BEN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.14128046154094","-3.4264098207392","4.73002797070119","6.6507591113471","5.29386284023943","3.57586272728709","1.07839867228992","3.84233563205507","2.87749797610756","2.09775758594482","-1.49684183254124","6.42636754874204","3.70616531262331","3.33931216354331","-4.89534544533758","0.884356331370824","4.98366372080632","1.25507803364032","6.53574740728473","6.78176387466071","9.95423117120279","2.23506634049309","-4.34782272848688","7.92983955647968","7.53032483722764","2.17114160184472","-1.50000294874989","3.40524529016395","-2.85416049266215","8.97613436130615","4.22579941890366","2.95771082437891","5.83617209067921","2.02040044541802","6.04519864485627","4.32428403455522","5.73468837361106","3.96101213901494","5.34144937282871","4.86166756398872","6.24841054712351","4.42111434288873","3.88250834528496","3.11985710403798","2.8652368175337","3.75215447808226","4.62639647079766","5.01463840687684","2.66322258840295","2.6114870727052","3.26371860996026","5.39588962580856","5.64014916096956","5.36909839682306",
"Burkina Faso","BFA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.04392797653314","6.12879878142709","-1.26801637263016","2.28281922317824","3.76454538057878","0.53761308310483","8.82331497511429","3.07077393772455","2.0260810406548","0.117019610899945","1.41333988193304","2.31149874124745","0.449327404973701","8.28642648234307","2.99838289042404","8.53489496952548","0.370353558007523","4.60782500525137","3.66462151183148","0.796878872350646","4.25530339449534","9.56219662276685","0.345984739692867","-1.77869668654424","8.51736499535107","7.95536272803459","-0.236336793625298","5.79559296480245","2.15026727576517","-0.60292848001005","9.06998446083456","0.232710762542737","3.46138493514046","1.31500727214085","5.71637386679345","11.014743869212","6.31683473498401","7.30771963314496","7.40417896632496","1.82024189276156","6.61339955512813","4.35300432287377","7.80243989821501","4.47847434866782","8.6618616051674","6.25315860358155","5.65500511828274","7.29449815007297","2.96201437138612","8.44632518323235","6.52176944827904","6.45267475358607","6.66935774791015","4.04976089787432",
"Bangladesh","BGD","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","6.05816082548085","5.45303096987189","-0.455894289938712","10.9527885460417","1.60625822891576","2.56681200128052","-1.87586391964774","9.48945401547951","1.22085790909685","5.61985229280111","-5.47948302721956","-13.9737287020439","3.32568019878394","9.59195630041843","-4.08821409181658","5.66136120119667","2.67305605001984","7.07383773260692","4.80163460055661","0.81914186889891","7.23394369490724","2.13432783577072","3.88104639981715","4.80331001525438","3.34201465415414","4.173382559004","3.77240185252705","2.41625685566223","2.83658212907926","5.62225816160702","3.4852278153552","5.44268555072129","4.7115617244945","3.89012644065639","5.12127789716162","4.52291921762347","4.48989649735631","5.17702687345256","4.67015636827865","5.2932947184604","5.07728777597312","3.83312394005608","4.73956739916446","5.2395329104527","6.53594494052352","6.67186826509662","7.05863620607012","6.01378975923306","5.04512479417738","5.57180227396866","6.46438388047517","6.52143507837333","6.01359606747025","6.1162241655117",
"Bulgaria","BGR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","4.90016172175589","2.33456585343524","3.43030589062403","3.39644358795066","2.68344076496277","4.20760186981519","6.05451388603019","10.9446919833683","-3.28988192891863","-9.11737716831637","-8.44535521832927","-7.27238786732856","-1.48021478351319","1.81801105753436","2.86018946579203","1.59999998968941","-1.088875746458","3.4628166886048","-5.64622182225438","6.03833964380689","3.79887216791428","4.4802236219704","5.35717233540407","6.55971476859347","5.955290762375","6.47040006709842","6.90738237400896","5.75470042218491","-5.01193741086833","0.655325112354802","1.98200314392854","0.492189951607429","1.0658650894589","1.7054735020148",
